"","inflation_2019","player_name","salary","TEAM","AGE","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","Tax"
"131",2.5,"Terrence Ross",10500000,"ORL","27","6'7""","206","Washington","USA","2012","1","8","-5.4","player_2019","SG",27,0,25.6,5.3,11.8,0.453,2.2,5.6,0.391,3.1,6.2,0.509,0.546,1.3,1.5,0.854,0.1,2.6,2.8,1.8,0.9,0.4,1.3,2,14.1,"0%"
"132",2.5,"Robert Covington",10464092,"MIN","28","6'9""","225","Tennessee State","USA","Undrafted","Undrafted","Undrafted","1.8","player_2019","SF",25,25,34.3,4.2,9.8,0.433,2.4,6.2,0.385,1.8,3.6,0.517,0.555,1.7,2.2,0.796,0.5,5,5.6,1.1,2.2,1.4,1.4,3.3,12.6,"9.85%"
"133",2.5,"Rudy Gay",10087200,"SAS","32","6'8""","230","Connecticut","USA","2006","1","8","4.1","player_2019","SF",24,21,27.2,5.5,10.7,0.512,1.3,2.7,0.484,4.2,8,0.521,0.572,1.6,2,0.83,1.2,5.7,6.9,2.1,0.9,0.6,1.7,2.5,13.8,"0%"
"134",2.5,"Jon Leuer",10002681,"DET","29","6'10""","228","Wisconsin","USA","2011","2","40","-5.8","player_2019","PF",13,1,10.2,1.8,3.1,0.6,0,0.4,0,1.8,2.7,0.686,0.6,0.7,0.9,0.75,0.8,1.7,2.5,0.5,0.3,0,0.4,1.6,4.4,"4.25%"
"135",2.5,"Andre Roberson",1e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2.5,"Darren Collison",1e+07,"IND","31","6'0""","175","UCLA","USA","2009","1","21","2.8","player_2019","PG",27,27,28.3,3.5,8.1,0.432,0.8,2.3,0.355,2.7,5.9,0.462,0.482,1.7,2.1,0.776,0.6,2.2,2.8,5.6,1.6,0.1,1.5,1.7,9.5,"3.30%"
"137",2.5,"Danny Green",1e+07,"TOR","31","6'6","215","North Carolina","USA","2009","2","46","16","player_2019","SG",29,29,29.3,3.4,7.8,0.442,2.3,5.5,0.421,1.1,2.3,0.493,0.591,0.2,0.2,0.857,1,3,4,1.3,0.9,0.8,1.1,2.4,9.4,"13.60%"
"138",2.5,"Dwight Powell",9631250,"DAL","27","6'11""","240","Stanford","Canada","2014","2","45","4.7","player_2019","C",22,0,16.7,3.2,5.4,0.597,0.3,1.6,0.2,2.9,3.8,0.762,0.626,2.4,3.1,0.779,1.2,3.1,4.3,1.1,0.6,0.6,1,2.7,9.2,"0%"
"139",2.5,"Matthew Dellavedova",9607500,"CLE","28","6'4""","200","Saint Mary's (CA)","Australia","Undrafted","Undrafted","Undrafted","2.9","player_2019","PG",13,0,8.7,0.8,2,0.385,0.4,1.1,0.357,0.4,0.9,0.417,0.481,0.5,0.5,1,0,0.9,0.9,2.5,0.2,0,1,0.7,2.4,"5.33%"
"140",2.5,"Jared Dudley",9530000,"BKN","33","6'7""","237","Boston College","USA","2007","1","22","-0.2","player_2019","PF",28,20,21.2,1.6,4.1,0.379,0.8,2.6,0.292,0.8,1.6,0.523,0.47,0.4,0.6,0.688,0.6,2,2.6,1.4,0.5,0.3,0.9,2.5,4.3,"8.82%"
