"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"33","Chandler Parsons","24107258","MEM","6'10""","230","Florida","USA","2011","2","38"," -11.5","2019","SF","30"," 3"," 3","  15.3","  2.3","  5.7","  1.0","  3.3","  1.3","  2.3","  0.0","  0.0"," 0.3","  1.0","  1.3","  0.7"," 0.3"," 0.3","  0.7","  2.3","  5.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.403508771930","0.565217391304","0.491228070175","0.303030303030","          NaN"
"34","Nicolas Batum","24000000","CHA","6'8""","200","None","France","2008","1","25","   0.8","2019","SF","30","26","26","  30.0","  3.4","  7.7","  1.3","  3.4","  2.2","  4.3","  0.9","  1.1"," 1.2","  4.3","  5.5","  3.5"," 0.9"," 0.5","  1.7","  1.7","  9.0"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.441558441558","0.511627906977","0.525974025974","0.382352941176","0.81818181818"
"35","Kawhi Leonard","23114066","TOR","6'7""","230","San Diego State","USA","2011","1","15","   8.7","2019","SF","27","22","22","  34.7","  9.2"," 18.9","  1.8","  4.8","  7.4"," 14.1","  5.8","  6.8"," 1.3","  7.0","  8.3","  3.0"," 1.9"," 0.7","  2.0","  1.5"," 26.1"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.486772486772","0.524822695035","0.534391534392","0.375000000000","0.85294117647"
"36","DeAndre Jordan","22897200","DAL","6'11""","265","Texas A&M","USA","2008","2","35","  -0.6","2019","C","30","25","25","  31.3","  4.0","  6.6","  0.0","  0.0","  4.0","  6.6","  2.9","  3.8"," 2.8"," 10.8"," 13.6","  2.2"," 0.7"," 1.0","  2.4","  2.5"," 11.0"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.606060606061","0.606060606061","0.606060606061","           NaN","0.76315789474"
"37","Rudy Gobert","22741573","UTA","7'1""","245","None","France","2013","1","27","   4.3","2019","C","26","28","28","  31.0","  5.7","  8.3","  0.0","  0.0","  5.7","  8.3","  3.4","  5.8"," 3.6","  8.6"," 12.3","  1.9"," 0.9"," 1.9","  1.5","  2.8"," 14.8"," 2.5","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","0.686746987952","0.686746987952","0.686746987952","           NaN","0.58620689655"
"38","LaMarcus Aldridge","22347015","SAS","6'11""","260","Texas","USA","2006","1","2","  -2.1","2019","C","33","28","28","  32.9","  7.2"," 15.7","  0.0","  0.3","  7.2"," 15.4","  3.8","  4.5"," 3.3","  6.4","  9.7","  2.2"," 0.4"," 1.2","  2.1","  2.1"," 18.2"," 2.5","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","0.458598726115","0.467532467532","0.458598726115","0.000000000000","0.84444444444"
"39","Serge Ibaka","21666667","TOR","6'10""","235","None","Democratic Re...","2008","1","24","  12.3","2019","C","29","28","19","  27.4","  6.9"," 12.5","  0.8","  2.7","  6.1","  9.8","  2.1","  2.6"," 2.1","  5.3","  7.4","  1.4"," 0.5"," 1.4","  1.8","  3.1"," 16.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.552000000000","0.622448979592","0.584000000000","0.296296296296","0.80769230769"
"40","Aaron Gordon","21590909","ORL","6'9""","220","Arizona","USA","2014","1","4","  -1.6","2019","PF","23","25","25","  32.6","  6.4"," 13.7","  1.7","  4.5","  4.7","  9.2","  1.8","  2.6"," 1.9","  5.6","  7.5","  2.8"," 1.0"," 0.8","  1.8","  2.5"," 16.3"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.467153284672","0.510869565217","0.529197080292","0.377777777778","0.69230769231"
"41","Danilo Gallinari","21587579","LAC","6'10""","225","None","Italy","2008","1","6","   1.7","2019","SF","30","26","26","  31.5","  5.6"," 12.8","  2.3","  5.3","  3.2","  7.6","  5.3","  5.8"," 1.0","  5.1","  6.1","  2.2"," 0.7"," 0.3","  1.1","  2.0"," 18.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.437500000000","0.421052631579","0.527343750000","0.433962264151","0.91379310345"
"42","Victor Oladipo","21000000","IND","6'4""","210","Indiana","USA","2013","1","2","   4.7","2019","SG","26","16","16","  32.4","  8.1"," 18.3","  2.4","  6.9","  5.7"," 11.4","  2.9","  4.1"," 0.5","  6.1","  6.6","  4.7"," 1.6"," 0.5","  2.3","  2.0"," 21.4"," 2.5","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","0.442622950820","0.500000000000","0.508196721311","0.347826086957","0.70731707317"
