"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"35","Rudy Gobert",21224719,"UTA","7'1""",245,"None","France","2013","1","27",9.5,2018,"C",25,56,56,32.4,4.9,7.9,0,0,4.9,7.9,3.6,5.3,2.9,7.8,10.7,1.4,0.8,2.3,1.9,2.7,13.5,2.1,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO",0.620253164556962,0.620253164556962,0.620253164556962,NA,0.679245283018868,48,5
"36","Victor Oladipo",21000000,"IND","6'4""",210,"Indiana","USA","2013","1","2",6,2018,"SG",25,75,75,34,8.5,17.9,2.1,5.8,6.4,12.1,3.9,4.9,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.474860335195531,0.528925619834711,0.533519553072626,0.362068965517241,0.795918367346939,48,5
"37","Danilo Gallinari",20559599,"LAC","6'10""",225,"None","Italy","2008","1","6",0.9,2018,"SF",29,21,21,32,4.9,12.2,1.7,5.3,3.1,6.9,3.9,4.1,0.4,4.4,4.8,2,0.6,0.5,1.2,1.4,15.3,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.401639344262295,0.449275362318841,0.471311475409836,0.320754716981132,0.951219512195122,42,9
"38","Serge Ibaka",20061729,"TOR","6'10""",235,"None","Democratic Re...","2008","1","24",6.8,2018,"PF",28,76,76,27.5,5,10.3,1.4,3.9,3.6,6.4,1.2,1.6,1,5.3,6.3,0.8,0.4,1.3,1.2,2.8,12.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.485436893203883,0.5625,0.553398058252427,0.358974358974359,0.75,59,9
"39","George Hill",20000000,"CLE","6'3""",188,"Indiana Purdue-Indianapolis","USA","2008","1","26",-3.2,2018,"PG",31,67,60,27,3.5,7.7,1.3,3.1,2.3,4.6,1.6,2.1,0.6,2.1,2.7,2.8,0.9,0.4,1.3,1.9,10,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.454545454545455,0.5,0.538961038961039,0.419354838709677,0.761904761904762,50,10
"40","Ryan Anderson",19578455,"HOU","6'10""",240,"California","USA","2008","1","21",7,2018,"PF",29,66,50,26.1,3.1,7.3,2,5.1,1.2,2.1,1.1,1.4,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.424657534246575,0.571428571428571,0.561643835616438,0.392156862745098,0.785714285714286,65,10
"41","Paul George",19300000,"OKC","6'9""",220,"Fresno State","USA","2010","1","10",3.6,2018,"SF",27,79,79,36.6,7.3,17,3.1,7.7,4.2,9.3,4.3,5.2,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.429411764705882,0.451612903225806,0.520588235294118,0.402597402597403,0.826923076923077,48,8
"42","Jeff Teague",19000000,"MIN","6'2""",189,"Wake Forest","USA","2009","1","19",2.7,2018,"PG",29,70,70,33,5.1,11.3,1.2,3.3,3.9,8.1,2.9,3.4,0.3,2.6,3,7,1.5,0.3,2.5,2.4,14.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.451327433628319,0.481481481481482,0.504424778761062,0.363636363636364,0.852941176470588,47,9
"43","Kyrie Irving",18868626,"BOS","6'3""",193,"Duke","Australia","2011","1","1",6.3,2018,"PG",25,60,60,32.2,8.9,18.1,2.8,6.8,6.1,11.3,3.9,4.4,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2,24.4,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.49171270718232,0.539823008849557,0.569060773480663,0.411764705882353,0.886363636363636,55,7
"44","Kawhi Leonard",18868625,"SAS","6'7""",230,"San Diego State","USA","2011","1","15",3.2,2018,"SF",26,9,9,23.3,5.8,12.3,1.2,3.9,4.6,8.4,3.4,4.2,0.7,4,4.7,2.3,2,1,1.8,1,16.2,2.1,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO",0.471544715447154,0.547619047619048,0.520325203252032,0.307692307692308,0.809523809523809,47,7
"45","Jimmy Butler",18696918,"MIN","6'8""",236,"Marquette","USA","2011","1","30",8.4,2018,"SG",28,59,59,36.7,7.4,15.6,1.2,3.4,6.2,12.2,6.2,7.2,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2,2.1,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.474358974358974,0.508196721311475,0.512820512820513,0.352941176470588,0.861111111111111,47,7
"46","Allen Crabbe",18500000,"BRK","6'6",215,"California","USA","2013","2","31",-1.7,2018,"SG",25,75,68,29.3,4.5,11,2.7,7.1,1.8,3.9,1.5,1.8,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.409090909090909,0.461538461538462,0.531818181818182,0.380281690140845,0.833333333333333,28,5
"47","DeMarcus Cousins",18063850,"NOP","6'11""",270,"Kentucky","USA","2010","1","5",3.1,2018,"C",27,48,48,36.2,8.5,18,2.2,6.1,6.3,11.9,6.1,8.2,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.472222222222222,0.529411764705882,0.533333333333333,0.360655737704918,0.74390243902439,48,8
"48","John Wall",18063850,"WAS","6'4""",210,"Kentucky","USA","2010","1","1",4.1,2018,"PG",27,41,41,34.4,6.8,16.3,1.5,4.1,5.3,12.2,4.3,5.9,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2,19.4,2.1,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.417177914110429,0.434426229508197,0.46319018404908,0.365853658536585,0.728813559322034,43,8
"49","Enes Kanter",17884176,"NYK","6'11""",245,"Kentucky","Turkey","2011","1","3",-4.9,2018,"C",25,71,71,25.8,5.9,10,0,0,5.9,10,2.2,2.6,3.8,7.1,11,1.5,0.5,0.5,1.7,2.6,14.1,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.59,0.59,0.59,NA,0.846153846153846,29,7
"50","Wesley Matthews",17884175,"DAL","6'5""",220,"Marquette","USA","Undrafted","Undrafted","Undrafted",-7.2,2018,"SF",31,63,62,33.8,4.5,11.1,2.4,6.4,2.1,4.7,1.3,1.6,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.405405405405405,0.446808510638298,0.513513513513514,0.375,0.8125,24,9
"51","Dwyane Wade",17878652,"MIA","6'4""",220,"Marquette","USA","2003","1","5",0.7,2018,"SG",36,67,3,22.9,4.5,10.2,0.5,1.7,4,8.5,2,2.8,0.7,3,3.8,3.4,0.9,0.7,2.1,1.9,11.4,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.441176470588235,0.470588235294118,0.465686274509804,0.294117647058824,0.714285714285714,44,15
"52","Klay Thompson",17826150,"GSW","6'7""",215,"Washington State","USA","2011","1","11",7,2018,"SG",27,73,73,34.3,7.9,16.2,3.1,7.1,4.7,9,1.1,1.3,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.487654320987654,0.522222222222222,0.583333333333333,0.436619718309859,0.846153846153846,58,7
"53","Joakim Noah",17765000,"NYK","6'11""",230,"Florida","USA","2007","1","9",-1.9,2018,"C",32,7,0,5.7,0.7,1.4,0,0,0.7,1.4,0.3,0.6,0.9,1.1,2,0.6,0.3,0.3,0.6,0.7,1.7,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5,0.5,0.5,NA,0.5,29,11
"54","Kentavious Caldwell-Pope",17745894,"LAL","6'5""",205,"Georgia","USA","2013","1","8",-0.9,2018,"SG",24,74,74,33.2,4.6,10.8,2.1,5.6,2.4,5.2,2.1,2.6,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2,13.4,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.425925925925926,0.461538461538462,0.523148148148148,0.375,0.807692307692308,35,5
"55","Evan Turner",17131148,"POR","6'7""",220,"Ohio State","USA","2010","1","2",-0.9,2018,"SF",29,79,40,25.7,3.3,7.3,0.5,1.7,2.7,5.6,1.2,1.4,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.452054794520548,0.482142857142857,0.486301369863014,0.294117647058824,0.857142857142857,49,8
"56","Goran Dragic",17000450,"MIA","6'3""",190,"None","Slovenia","2008","2","45",0.6,2018,"PG",31,75,75,31.7,6.5,14.3,1.5,4,5,10.3,2.9,3.6,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.454545454545455,0.485436893203883,0.506993006993007,0.375,0.805555555555555,44,10
"57","Bismack Biyombo",17000000,"ORL","6'9""",255,"None","Democratic Re...","2011","1","7",-14.1,2018,"C",25,82,25,18.2,2.2,4.3,0,0,2.2,4.3,1.2,1.9,1.8,4,5.7,0.8,0.3,1.2,1,1.9,5.7,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.511627906976744,0.511627906976744,0.511627906976744,NA,0.631578947368421,25,7
"58","Evan Fournier",17000000,"ORL","6'7""",205,"None","France","2012","1","20",-3,2018,"SF",25,57,57,32.2,6.5,14.1,2.2,5.9,4.2,8.2,2.6,3,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.460992907801418,0.51219512195122,0.539007092198582,0.372881355932203,0.866666666666667,25,6
"59","Kent Bazemore",16910112,"ATL","6'5""",201,"Old Dominion","USA","Undrafted","Undrafted","Undrafted",-4.6,2018,"SG",28,65,65,27.5,4.4,10.4,1.7,4.2,2.7,6.2,2.5,3.1,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.423076923076923,0.435483870967742,0.504807692307692,0.404761904761905,0.806451612903226,24,5
"60","Robert Covington",16698103,"PHI","6'9""",225,"Tennessee State","USA","Undrafted","Undrafted","Undrafted",9.7,2018,"SF",27,80,80,31.7,4.3,10.5,2.5,6.9,1.8,3.6,1.5,1.7,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.40952380952381,0.5,0.528571428571429,0.36231884057971,0.882352941176471,52,4
"61","Tim Hardaway Jr",16500000,"NYK","6'6",205,"Michigan","USA","2013","1","24",-1.7,2018,"SG",25,57,54,33.1,6.3,15,2.3,7.2,4,7.8,2.6,3.1,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.42,0.512820512820513,0.496666666666667,0.319444444444444,0.838709677419355,29,5
"62","Tristan Thompson",16400000,"CLE","6'9""",238,"Texas","Canada","2011","1","4",-6.4,2018,"C",26,53,22,20.2,2.5,4.4,0,0,2.5,4.4,0.8,1.5,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.568181818181818,0.568181818181818,0.568181818181818,NA,0.533333333333333,50,7
