"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"7383","Terry Porter",2200000,"SAS","6'3""",205,"Wisconsin-Stevens Point","USA","1985","1","24",11.3,2001,"PG",37,80,42,21,2.5,5.5,1.1,2.6,1.4,2.9,1.2,1.5,0.3,2.2,2.5,3.1,0.7,0.1,1.3,1.1,7.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4545455,0.4827586,0.5545455,0.4230769,0.8,58,3
"7384","Olden Polynice",2200000,"UTA","7'0""",250,"Virginia","USA","1987","1","8",4.9,2001,"C",36,81,79,20,2.5,5.1,0,0,2.5,5.1,0.2,0.8,1.9,2.7,4.7,0.4,0.3,1,1,3,5.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4901961,0.4901961,0.4901961,NA,0.25,53,2
"7385","Michael Smith",2200000,"WAS","6'8""",240,"Providence","USA","1994","2","35",-10.7,2001,"PF",28,79,29,20.4,1.3,2.8,0,0,1.3,2.7,1.1,1.9,2.2,4.9,7.1,1.3,0.7,0.5,0.8,2,3.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4642857,0.4814815,0.4642857,NA,0.5789474,19,3
"7386","Wally Szczerbiak",2162280,"MIN","6'7""",244,"Miami (OH)","USA","1999","1","6",4.1,2001,"SF",23,82,82,34.8,5.7,11.2,0.3,0.9,5.4,10.3,2.2,2.5,1.6,3.8,5.5,3.2,0.7,0.4,1.7,2.8,14,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",0.5089286,0.5242718,0.5223214,0.3333333,0.88,47,10
"7387","Lucious Harris",2160000,"BRK","6'5""",205,"Long Beach State","USA","1993","2","28",-4.6,2001,"SG",30,73,50,28.4,3.6,8.5,0.6,1.8,3,6.7,1.5,1.9,1,3,3.9,1.8,1,0.2,0.9,1.7,9.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4235294,0.4477612,0.4588235,0.3333333,0.7894737,26,6
"7388","Sean Rooks",2160000,"LAC","6'10""",260,"Arizona","USA","1992","2","30",1.6,2001,"C",31,82,0,18.9,2.1,4.8,0,0,2,4.8,1.3,1.7,1.1,2.6,3.7,0.9,0.4,0.8,0.9,2.4,5.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4375,0.4166667,0.4375,NA,0.7647059,31,5
"7389","DerMarr Johnson",2107200,"ATL","6'9""",201,"Cincinnati","USA","2000","1","6",-6.2,2001,"SF",20,78,21,16.8,1.9,5,0.5,1.6,1.3,3.4,0.8,1.1,0.7,1.6,2.3,0.8,0.6,0.4,1.2,1.7,5.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.38,0.3823529,0.43,0.3125,0.7272727,25,6
"7390","Clarence Weatherspoon",2100000,"CLE","6'7""",265,"Southern Mississippi","USA","1992","1","9",-4.8,2001,"PF",30,82,82,33.8,4.2,8.4,0,0,4.2,8.4,2.8,3.5,2.7,7,9.7,1.3,1,1.3,1.4,2.1,11.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5,0.5,0.5,NA,0.8,30,6
"7391","Hubert Davis",2100000,"WAS","6'5""",183,"North Carolina","USA","1992","1","20",-0.2,2001,"PG",30,66,18,25.6,3,6.6,1.2,2.6,1.8,4,0.8,0.9,0.4,1.7,2.1,1.7,0.5,0,1.2,1.8,7.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4545455,0.45,0.5454545,0.4615385,0.8888889,19,4
"7392","Billy Owens",2100000,"DET","6'8""",220,"Syracuse","USA","1991","1","3",-1.5,2001,"PF",31,45,14,17.6,2,5.1,0.1,0.4,1.9,4.7,0.4,0.9,1.9,2.7,4.6,1.2,0.7,0.3,0.9,2.1,4.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3921569,0.4042553,0.4019608,0.25,0.4444444,32,2
"7393","Vinny Del Negro",2100000,"PHO","6'4""",200,"North Carolina State","USA","1988","2","29",-2.1,2001,"PG",34,65,1,14.2,1.6,3.6,0,0.2,1.6,3.4,0.6,0.7,0.2,1.1,1.3,1.9,0.4,0,0.5,1.2,3.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4444444,0.4705882,0.4444444,0,0.8571429,51,2
"7394","Matt Bullard",2100000,"HOU","6'10""",235,"Iowa","USA","Undrafted","Undrafted","Undrafted",8.3,2001,"PF",33,61,5,16.4,2.1,5,1.4,3.5,0.7,1.5,0.2,0.2,0.4,1.8,2.1,0.7,0.2,0.1,0.2,1.2,5.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.42,0.4666667,0.56,0.4,1,45,3
"7395","Cherokee Parks",2100000,"LAC","6'11""",240,"Duke","USA","1995","1","12",-4,2001,"C",28,65,31,16.2,2.1,4.2,0,0.1,2.1,4.1,0.5,0.7,1.1,2.4,3.5,0.7,0.4,0.6,0.6,1.9,4.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5,0.5121951,0.5,0,0.7142857,31,5
"7396","Alvin Williams",2100000,"TOR","6'5""",185,"Villanova","USA","1997","2","47",3.4,2001,"SG",26,82,34,29.2,4,9.4,0.4,1.3,3.6,8,1.3,1.8,0.6,2,2.6,5,1.5,0.3,1.3,2.1,9.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4255319,0.45,0.4468085,0.3076923,0.7222222,47,5
"7397","Jason Williams",2011080,"SAC","6'1""",190,"Florida","USA","1998","1","7",4.9,2001,"PG",25,77,77,29.7,3.6,9,1.3,4,2.4,4.9,0.8,1,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.4897959,0.4722222,0.325,0.8,55,11
"7398","Johnny Newman",2000000,"BRK","6'7""",210,"Richmond","USA","1986","2","29",-8.1,2001,"SG",37,82,17,25,3.5,8.5,0.7,2.1,2.8,6.3,3.1,3.6,0.4,1.7,2.1,1.4,0.8,0.1,1.3,2.8,10.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4117647,0.4444444,0.4529412,0.3333333,0.8611111,26,3
"7399","Dell Curry",2000000,"TOR","6'5""",205,"Virginia Tech","USA","1986","1","15",-2.7,2001,"SG",36,71,1,13.5,2.3,5.4,0.9,2,1.4,3.3,0.6,0.7,0.2,1,1.2,1.1,0.4,0.1,0.5,0.9,6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4259259,0.4242424,0.5092593,0.45,0.8571429,47,3
"7400","Richard Hamilton",1973880,"WAS","6'6",185,"Connecticut","USA","1999","1","7",-6.3,2001,"SF",22,78,42,32.3,7,16,0.5,1.9,6.5,14.1,3.6,4.1,1,2.1,3.1,2.9,1,0.1,2.6,2.6,18.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4375,0.4609929,0.453125,0.2631579,0.8780488,19,14
"7401","Chris Mihm",1923600,"CLE","7'1""",265,"Texas","USA","2000","1","7",-2.6,2001,"C",21,59,43,19.8,2.9,6.6,0,0,2.9,6.6,1.7,2.1,1.8,2.9,4.7,0.3,0.3,0.9,1.4,2.6,7.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4393939,0.4393939,0.4393939,NA,0.8095238,30,8
"7402","Andrew DeClercq",1920000,"ORL","6'10""",255,"Florida","USA","1995","2","34",6.8,2001,"C",27,67,51,13.5,1.6,2.9,0,0,1.6,2.9,0.7,1.2,1.4,2.2,3.5,0.5,0.6,0.5,0.8,3,3.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5517241,0.5517241,0.5517241,NA,0.5833333,43,6
"7403","James Robinson",1870000,"ORL","6'2""",180,"Alabama","USA","1993","1","21",-2.9,2001,"PG",30,6,0,8.3,0.7,1.8,0.3,0.8,0.3,1,0,0,0,1.3,1.3,0,0.7,0.2,0.7,0.8,1.7,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3888889,0.3,0.4722222,0.375,NA,43,1
"7404","Larry Hughes",1842480,"GSW","6'5""",184,"Saint Louis","USA","1998","1","8",-6.5,2001,"SG",22,50,45,36.9,6.2,16.1,0.3,1.5,5.9,14.6,3.9,5,1.5,4,5.5,4.5,1.9,0.6,3,2.9,16.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3850932,0.4041096,0.3944099,0.2,0.78,17,12
"7405","Aaron McKie",1818000,"PHI","6'5""",209,"Temple","USA","1994","1","17",7.2,2001,"SG",28,76,33,31.5,4.4,9.4,0.7,2.2,3.8,7.2,2,2.6,0.4,3.7,4.1,5,1.4,0.1,2.7,2.3,11.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4680851,0.5277778,0.5053191,0.3181818,0.7692308,56,7
"7406","Andre Miller",1808400,"CLE","6'2""",200,"Utah","USA","1999","1","8",-0.6,2001,"PG",24,82,82,34.7,5.5,12.2,0.2,0.8,5.3,11.4,4.6,5.5,1.1,3.2,4.4,8,1.5,0.3,3.2,2.8,15.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO",0.4508197,0.4649123,0.4590164,0.25,0.8363636,30,17
"7407","Jamal Crawford",1762320,"CHI","6'5""",200,"Michigan","USA","2000","1","8",-12,2001,"PG",20,61,8,17.2,1.8,5,0.7,1.9,1.1,3.1,0.4,0.6,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.36,0.3548387,0.43,0.3684211,0.6666667,15,18
"7408","Greg Foster",1760000,"LAL","6'11""",250,"Texas-El Paso","USA","1990","2","35",-14.6,2001,"C",32,62,8,7.3,0.9,2.1,0,0.1,0.9,2,0.2,0.2,0.5,1.3,1.8,0.5,0.1,0.2,0.4,1.2,2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.45,0.4285714,0,1,56,3
"7409","Jaren Jackson",1750000,"SAS","6'4""",190,"Georgetown","USA","Undrafted","Undrafted","Undrafted",-6.9,2001,"SG",33,16,0,7.1,1,2.5,0.4,1.1,0.6,1.4,0,0.1,0.1,0.7,0.8,0.4,0.3,0,0.2,0.8,2.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.4285714,0.48,0.3636364,0,58,3
"7410","Darvin Ham",1700000,"MIL","5'3""",136,"Texas Tech","USA","Undrafted","Undrafted","Undrafted",-3.7,2001,"SF",27,29,13,18.6,1.3,2.8,0.1,0.1,1.3,2.7,1,1.7,1.9,2.2,4.2,0.9,0.6,0.7,1.1,2.9,3.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4642857,0.4814815,0.4821429,1,0.5882353,52,6
"7411","Dirk Nowitzki",1693560,"DAL","6'11""",237,"None","Germany","1998","1","9",8.8,2001,"PF",22,82,82,38.1,7.2,15.2,1.8,4.8,5.4,10.5,5.5,6.6,1.5,7.7,9.2,2.1,1,1.2,1.9,3,21.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4736842,0.5142857,0.5328947,0.375,0.8333333,53,19
"7412","Shawn Marion",1662240,"PHO","6'7""",215,"Nevada-Las Vegas","USA","1999","1","9",5.3,2001,"SF",22,79,79,36.2,7.1,14.7,0.3,1,6.8,13.6,3,3.7,2.8,7.9,10.7,2,1.7,1.4,1.6,2.7,17.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO",0.4829932,0.5,0.4931973,0.3,0.8108108,51,16
"7413","Paul Pierce",1608840,"BOS","6'6",230,"Kansas","USA","1998","1","10",-1,2001,"SF",23,82,82,38,8.4,18.5,1.8,4.7,6.6,13.8,6.7,9,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4540541,0.4782609,0.5027027,0.3829787,0.7444444,36,18
"7414","Jason Terry",1579080,"ATL","6'2""",172,"Arizona","USA","1999","1","10",-5.1,2001,"SG",23,82,77,37.7,7.3,16.7,1.5,3.8,5.8,12.8,3.7,4.4,0.5,2.8,3.3,4.9,1.3,0.1,2.9,2.5,19.7,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO",0.4371257,0.453125,0.4820359,0.3947368,0.8409091,25,19
"7415","Keyon Dooling",1538880,"LAC","6'5""",193,"Missouri","USA","2000","1","10",-0.3,2001,"PG",20,76,1,16.3,1.9,4.8,0.4,1.1,1.6,3.7,1.6,2.4,0.1,1.1,1.2,2.3,0.5,0.1,1.2,1.4,5.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3958333,0.4324324,0.4375,0.3636364,0.6666667,31,13
"7416","Bonzi Wells",1528440,"POR","6'5""",210,"Ball State","USA","1998","1","11",4.2,2001,"SF",24,75,46,26.6,5.2,9.7,0.2,0.7,4.9,9,2.1,3.2,1.6,3.3,4.9,2.8,1.3,0.3,2.3,2.7,12.7,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5360825,0.5444444,0.5463918,0.2857143,0.65625,50,9
"7417","Trajan Langdon",1500120,"CLE","6'3""",197,"Duke","USA","1999","1","11",-0.6,2001,"SG",24,65,5,17.2,2.1,4.8,0.8,1.9,1.3,2.9,1,1.2,0.2,1.2,1.4,1.2,0.6,0.1,0.8,1.8,6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4375,0.4482759,0.5208333,0.4210526,0.8333333,30,3
"7418","Jacque Vaughn",1500000,"UTA","6'1""",190,"Kansas","USA","1997","1","27",-4.2,2001,"PG",25,82,0,19.8,2.1,4.8,0.4,1,1.7,3.8,1.6,2,0.2,1.6,1.8,3.9,0.6,0,1.6,1.8,6.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4375,0.4473684,0.4791667,0.4,0.8,53,10
"7419","Peja Stojakovic",1480000,"SAC","6'9""",229,"None","Serbia and Mo...","1996","1","14",5.5,2001,"SF",23,75,75,38.7,7.5,15.9,1.9,4.8,5.5,11.1,3.6,4.2,1.2,4.5,5.8,2.2,1.2,0.2,1.9,1.9,20.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4716981,0.4954955,0.5314465,0.3958333,0.8571429,55,9
"7420","Jerome Moiso",1461960,"BOS","6'10""",232,"UCLA","France","2000","1","11",-3.4,2001,"C",22,24,0,5.6,0.5,1.3,0,0,0.5,1.2,0.5,1.1,0.5,1.3,1.8,0.1,0.1,0.2,0.8,1.2,1.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3846154,0.4166667,0.3846154,NA,0.4545455,36,5
"7421","Michael Doleac",1452000,"ORL","6'11""",262,"Utah","USA","1998","1","12",4.3,2001,"C",23,77,21,18.2,2.9,6.8,0,0,2.9,6.8,0.6,0.8,0.9,2.6,3.5,0.8,0.5,0.5,0.8,3.1,6.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4264706,0.4264706,0.4264706,NA,0.75,43,9
"7422","Keon Clark",1379400,"TOR","6'11""",221,"Nevada-Las Vegas","USA","1998","1","13",0.6,2001,"PF",25,81,3,21.2,3.1,6.4,0,0,3.1,6.4,1.8,3,1.7,3.7,5.4,0.9,0.4,1.9,1.1,3,7.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.484375,0.484375,0.484375,NA,0.6,47,4
"7423","Tony Massenburg",1360000,"MEM","6'9""",250,"Maryland","USA","1990","2","43",-7.6,2001,"PF",33,52,20,15.8,1.8,3.8,0,0,1.8,3.8,0.9,1.3,1.4,2.6,4,0.2,0.2,0.5,0.9,2.3,4.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4736842,0.4736842,0.4736842,NA,0.6923077,23,6
"7424","Corey Maggette",1353960,"LAC","6'6",218,"Duke","USA","1999","1","13",-2.5,2001,"SF",21,69,9,19.7,3.3,7.1,0.2,0.8,3,6.2,3.2,4.2,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2,10,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4647887,0.483871,0.4788732,0.25,0.7619048,31,14
"7425","Corie Blount",1320000,"GSW","6'10""",242,"Cincinnati","USA","1993","1","25",-11.1,2001,"PF",32,68,6,19.2,1.9,4.3,0,0.1,1.9,4.2,0.8,1.2,2.7,3.2,5.9,0.9,0.6,0.3,1.1,2.4,4.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4418605,0.452381,0.4418605,0,0.6666667,17,5
"7426","Michael Dickerson",1310400,"MEM","6'4""",190,"Arizona","USA","1998","1","14",-5.9,2001,"SG",25,70,69,37.4,6.1,14.6,1.2,3.3,4.8,11.3,2.9,3.9,1,2.3,3.3,3.3,0.9,0.4,2.3,3,16.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4178082,0.4247788,0.4589041,0.3636364,0.7435897,23,3
"7427","William Avery",1286160,"MIN","6'2""",197,"Duke","USA","1999","1","14",-4.2,2001,"PG",21,55,0,8.4,1,2.6,0.3,1.1,0.7,1.5,0.5,0.7,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3846154,0.4666667,0.4423077,0.2727273,0.7142857,47,3
"7428","Mateen Cleaves",1253400,"DET","6'2""",205,"Michigan State","USA","2000","1","14",-3.5,2001,"PG",23,78,8,16.3,2.1,5.1,0.1,0.2,2,4.9,1.2,1.8,0.3,1.4,1.7,2.7,0.6,0,1.8,2,5.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4117647,0.4081633,0.4215686,0.5,0.6666667,32,2
"7429","Matt Harpring",1244880,"CLE","6'7""",231,"Georgia Tech","USA","1998","1","15",-5.5,2001,"SG",24,56,55,28.8,4.3,9.4,0.2,0.9,4,8.4,2.4,2.9,1.6,2.7,4.3,1.8,0.8,0.3,1.6,2.9,11.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4574468,0.4761905,0.4680851,0.2222222,0.8275862,30,9
"7430","Anthony Johnson",1200000,"CLE","6'3""",190,"College of Charleston","USA","1997","2","39",-9.5,2001,"PG",26,53,0,9.6,1,2.9,0,0.1,1,2.8,0.4,0.6,0.2,0.6,0.8,1.5,0.4,0.1,0.6,1.2,2.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3448276,0.3571429,0.3448276,0,0.6666667,30,10
"7431","Chris Carr",1200000,"BOS","6'6",220,"Southern Illinois","USA","1995","2","56",-7.9,2001,"SG",26,35,0,8.8,1.5,3.2,0.5,1.1,1,2.1,1.3,1.7,0.3,0.9,1.3,0.3,0.1,0.1,0.5,1.3,4.8,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.46875,0.4761905,0.546875,0.4545455,0.7647059,36,3
"7432","Eldridge Recasner",1200000,"CHO","6'4""",192,"Washington","USA","1992","","",-2.2,2001,"PG",33,43,0,9.4,0.9,2.7,0.3,0.9,0.6,1.7,0.3,0.4,0.3,0.9,1.2,0.9,0.1,0,0.6,0.7,2.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3333333,0.3529412,0.3888889,0.3333333,0.75,NA,1
"7433","Zan Tabak",1200000,"IND","7'0""",257,"None","USA","1991","2","51",0.7,2001,"C",30,55,14,14.1,1.8,3.4,0,0,1.8,3.4,0.4,0.9,1.2,2.7,3.9,0.6,0.2,0.5,1,2.3,3.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5294118,0.5294118,0.5294118,NA,0.4444444,41,2
"7434","Anthony Carter",1200000,"MIA","6'1""",190,"Hawaii","USA","Undrafted","Undrafted","Undrafted",1.6,2001,"PG",25,72,6,22.6,2.7,6.7,0.1,0.6,2.6,6.1,0.9,1.4,0.6,1.9,2.5,3.7,1,0.1,1.7,2.1,6.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4029851,0.4262295,0.4104478,0.1666667,0.6428571,50,12
"7435","LaPhonso Ellis",1200000,"MIN","6'8""",240,"Notre Dame","USA","1992","1","5",0.9,2001,"PF",30,82,5,23.8,3.6,7.8,0.1,0.3,3.5,7.6,2.1,2.6,2.4,3.6,6,1.1,0.8,0.9,1.3,3.5,9.4,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4615385,0.4605263,0.4679487,0.3333333,0.8076923,47,4
"7436","Danny Ferry",1200000,"SAS","6'10""",235,"Duke","USA","1989","1","2",11.5,2001,"SF",34,80,29,21.1,2.2,4.7,0.9,2,1.4,2.7,0.3,0.4,0.7,2.1,2.8,0.9,0.4,0.3,0.6,2.1,5.6,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4680851,0.5185185,0.5638298,0.45,0.75,58,4
"7437","Jason Collier",1190760,"HOU","7'0""",260,"Georgia Tech","USA","2000","1","15",-13.4,2001,"C",23,23,0,9.7,1.2,3.1,0,0,1.2,3,0.7,1,0.5,1.1,1.6,0.3,0.1,0.1,0.5,1.2,3.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3870968,0.4,0.3870968,NA,0.7,45,4
"7438","Bryce Drew",1182600,"CHI","6'3""",185,"Valparaiso","USA","1998","1","16",-6.4,2001,"PG",26,48,41,27.2,2.6,6.8,0.8,2.2,1.8,4.6,0.3,0.4,0.3,1.2,1.4,3.9,0.7,0.1,1.4,2.1,6.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3823529,0.3913043,0.4411765,0.3636364,0.75,15,4
"7439","Metta World Peace",1160760,"CHI","6'7""",246,"St. John's (NY)","USA","1999","1","16",-7.5,2001,"SF",21,76,74,31.1,4.3,10.7,0.6,1.9,3.7,8.8,2.8,3.7,0.8,3.1,3.9,3,2,0.6,2.1,3.3,11.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO",0.4018692,0.4204545,0.4299065,0.3157895,0.7567568,15,17
"7440","Elliot Perry",1144000,"PHO","6'0""",152,"Memphis","USA","1991","2","37",3.8,2001,"PG",31,49,6,10.2,1.3,2.9,0,0.1,1.3,2.8,0.3,0.4,0.2,0.8,0.9,1.6,0.4,0,0.8,0.6,3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4482759,0.4642857,0.4482759,0,0.75,51,2
"7441","Hedo Turkoglu",1131240,"SAC","6'8""",220,"None","Turkey","2000","1","16",5.6,2001,"SF",21,74,7,16.8,1.9,4.5,0.4,1.2,1.5,3.4,1.2,1.5,0.7,2.2,2.8,0.9,0.7,0.3,0.7,1.9,5.3,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4222222,0.4411765,0.4666667,0.3333333,0.8,55,12
"7442","Rasho Nesterovic",1123560,"MIN","7'0""",250,"None","Slovenia","1998","1","17",0.7,2001,"C",24,73,39,16.9,2,4.4,0,0,2,4.4,0.5,0.9,1.4,2.6,3.9,0.6,0.3,0.9,0.8,2.6,4.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4545455,0.4545455,0.4545455,NA,0.5555556,47,8
"7443","Jelani McCoy",1110000,"OKC","6'10""",245,"UCLA","USA","1998","2","33",-4.6,2001,"C",23,70,44,16.3,2,3.8,0,0,2,3.8,0.6,1.3,1.3,2.3,3.6,0.8,0.3,0.7,1.1,2,4.5,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5263158,0.5263158,0.5263158,NA,0.4615385,44,5
"7444","Cal Bowdler",1102800,"ATL","6'10""",245,"Old Dominion","USA","1999","1","17",5.6,2001,"SF",23,44,0,8.5,1.2,2.6,0,0.1,1.2,2.5,0.8,0.9,0.7,1.1,1.8,0.1,0.2,0.5,0.3,1,3.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4615385,0.48,0.4615385,0,0.8888889,25,3
"7445","Sherman Douglas",1100000,"BRK","6'0""",180,"Syracuse","USA","1989","2","28",-5.3,2001,"PG",34,59,7,18.5,2.1,5.1,0.1,0.7,1.9,4.5,1.5,1.9,0.4,0.9,1.3,2.4,0.6,0.1,1.3,1.6,5.7,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4117647,0.4222222,0.4215686,0.1428571,0.7894737,26,2
"7446","Greg Buckner",1100000,"DAL","6'4""",210,"Clemson","USA","1998","2","53",7.3,2001,"SG",24,37,9,22.2,2.3,5.2,0.1,0.2,2.2,5,1.6,2.2,1.6,2.6,4.2,1.3,0.9,0.2,0.7,3.2,6.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4423077,0.44,0.4519231,0.5,0.7272727,53,10
"7447","Desmond Mason",1074720,"OKC","6'5""",215,"Oklahoma State","USA","2000","1","17",-0.9,2001,"SF",23,78,14,19.5,2.4,5.6,0.2,0.9,2.2,4.8,0.9,1.2,0.9,2.3,3.2,0.8,0.5,0.3,0.7,1.9,5.9,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.4583333,0.4464286,0.2222222,0.75,44,10
"7448","James Posey",1047600,"DEN","6'8""",215,"Xavier","USA","1999","1","18",0.8,2001,"SF",24,82,82,27.5,3,7.2,0.8,2.6,2.2,4.5,1.4,1.7,1.5,3.7,5.3,2,1.1,0.5,1.2,2.8,8.1,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO",0.4166667,0.4888889,0.4722222,0.3076923,0.8235294,40,12
"7449","Bill Curley",1034500,"GSW","6'9""",220,"Boston College","USA","1994","1","22",-9.6,2001,"PF",28,20,2,9.6,1.3,2.4,0.1,0.1,1.2,2.3,0.6,1,1.1,0.8,1.9,0.2,0.4,0.5,0.8,2.3,3.2,3.4,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5416667,0.5217391,0.5625,1,0.6,17,2
